global_step,global_decision_step,approx_global_env_frame_step,episode,episode_decision_steps,episode_approx_env_frame_steps,episode_ext_reward,episode_int_reward,episode_total_reward,episode_final_x_pos,episode_max_x_pos,episode_mean_x_pos,episode_flag_get,visited_bins,episode_timeout,train_total_timesteps,train_max_episode_steps,frame_skip
32923,32923,131692,195,107,428,628.0,0.0,628.0,706,706,348.9906542056075,0,15,0,1000000,3000,4
32958,32958,131832,196,35,140,245.0,0.0,245.0,309,309,154.57142857142858,0,7,0,1000000,3000,4
32999,32999,131996,197,41,164,234.0,0.0,234.0,299,299,155.1219512195122,0,6,0,1000000,3000,4
33088,33088,132352,198,89,356,620.0,0.0,620.0,695,695,391.0112359550562,0,14,0,1000000,3000,4
33126,33126,132504,199,38,152,229.0,0.0,229.0,293,293,170.71052631578948,0,6,0,1000000,3000,4
33398,33398,133592,200,272,1088,1020.0,0.0,1020.0,1130,1130,644.6323529411765,0,23,0,1000000,3000,4
33563,33563,134252,201,165,660,635.0,0.0,635.0,722,722,452.6909090909091,0,15,0,1000000,3000,4
33905,33905,135620,202,342,1368,999.0,0.0,999.0,1122,1122,696.1842105263158,0,23,0,1000000,3000,4
33945,33945,135780,203,40,160,239.0,0.0,239.0,303,303,154.85,0,7,0,1000000,3000,4
33985,33985,135940,204,40,160,235.0,0.0,235.0,301,301,155.2,0,7,0,1000000,3000,4
34028,34028,136112,205,43,172,232.0,0.0,232.0,297,297,155.46511627906978,0,6,0,1000000,3000,4
34243,34243,136972,206,215,860,721.0,0.0,721.0,821,821,529.6976744186046,0,17,0,1000000,3000,4
34342,34342,137368,207,99,396,633.0,0.0,633.0,709,709,350.04040404040404,0,15,0,1000000,3000,4
34536,34536,138144,208,194,776,757.0,0.0,757.0,852,852,456.9639175257732,0,18,0,1000000,3000,4
34694,34694,138776,209,158,632,812.0,0.0,812.0,898,899,568.0316455696203,0,18,0,1000000,3000,4
34933,34933,139732,210,239,956,1033.0,0.0,1033.0,1137,1137,600.36820083682,0,23,0,1000000,3000,4
34971,34971,139884,211,38,152,235.0,0.0,235.0,300,300,150.52631578947367,0,7,0,1000000,3000,4
35012,35012,140048,212,41,164,230.0,0.0,230.0,295,295,159.9268292682927,0,6,0,1000000,3000,4
35116,35116,140464,213,104,416,616.0,0.0,616.0,693,693,390.72115384615387,0,14,0,1000000,3000,4
35293,35293,141172,214,177,708,1039.0,0.0,1039.0,1130,1130,630.7909604519774,0,23,0,1000000,3000,4
35550,35550,142200,215,257,1028,1418.0,0.0,1418.0,1527,1527,743.4163424124514,0,31,0,1000000,3000,4
35587,35587,142348,216,37,148,240.0,0.0,240.0,305,305,152.6216216216216,0,7,0,1000000,3000,4
35626,35626,142504,217,39,156,238.0,0.0,238.0,303,303,154.4102564102564,0,7,0,1000000,3000,4
35781,35781,143124,218,155,620,1043.0,0.0,1043.0,1129,1129,562.5870967741936,0,23,0,1000000,3000,4
35870,35870,143480,219,89,356,632.0,0.0,632.0,707,707,387.7303370786517,0,15,0,1000000,3000,4
35901,35901,143604,220,31,124,245.0,0.0,245.0,309,309,157.06451612903226,0,7,0,1000000,3000,4
35935,35935,143740,221,34,136,243.0,0.0,243.0,307,307,155.91176470588235,0,7,0,1000000,3000,4
35972,35972,143888,222,37,148,237.0,0.0,237.0,302,302,154.48648648648648,0,7,0,1000000,3000,4
36059,36059,144236,223,87,348,608.0,0.0,608.0,683,683,338.97701149425285,0,14,0,1000000,3000,4
36094,36094,144376,224,35,140,243.0,0.0,243.0,308,308,150.0,0,7,0,1000000,3000,4
36194,36194,144776,225,100,400,622.0,0.0,622.0,698,698,382.01,0,14,0,1000000,3000,4
36302,36302,145208,226,108,432,612.0,0.0,612.0,689,689,393.75,0,14,0,1000000,3000,4
36343,36343,145372,227,41,164,233.0,0.0,233.0,298,298,159.41463414634146,0,6,0,1000000,3000,4
36383,36383,145532,228,40,160,235.0,0.0,235.0,300,300,148.95,0,7,0,1000000,3000,4
36520,36520,146080,229,137,548,640.0,0.0,640.0,722,722,503.2554744525547,0,15,0,1000000,3000,4
36642,36642,146568,230,122,488,1049.0,0.0,1049.0,1129,1129,542.0327868852459,0,23,0,1000000,3000,4
36726,36726,146904,231,84,336,605.0,0.0,605.0,679,679,318.4642857142857,0,14,0,1000000,3000,4
36990,36990,147960,232,264,1056,1682.0,0.0,1682.0,1790,1790,871.7765151515151,0,36,0,1000000,3000,4
37031,37031,148124,233,41,164,233.0,0.0,233.0,299,299,155.6341463414634,0,6,0,1000000,3000,4
37120,37120,148480,234,89,356,623.0,0.0,623.0,697,697,349.4269662921348,0,14,0,1000000,3000,4
37157,37157,148628,235,37,148,241.0,0.0,241.0,305,305,155.24324324324326,0,7,0,1000000,3000,4
37328,37328,149312,236,171,684,633.0,0.0,633.0,722,722,475.70175438596493,0,15,0,1000000,3000,4
37371,37371,149484,237,43,172,236.0,0.0,236.0,302,302,146.74418604651163,0,7,0,1000000,3000,4
